pointing_hit,mass_in_mask,mask_area_frac,mass_lift_over_chance,best_iou,iou@0.1,iou@0.2,iou@0.3,iou@0.4,iou@0.5,iou@0.6,iou@0.7,iou@0.8,iou@0.9,stem,model,seed,seg_split,class_name,plane,clean_vs_train,pred_correct,missed_tumour,entropy
0.0,0.033474892377853394,0.062420278787612915,0.5362823272826581,0.02824921427250878,0.02824921427250878,0.02796729085014758,0.02735053336641032,0.027074797139873062,0.026000870322019146,0.024996069800345858,0.018259023354564755,0.00765733429050012,0.0,brisc2025_train_00001_gl_ax_t1,resnet50,42,train,glioma,axial,True,True,False,0.3456519295843029
0.0,0.012125781737267971,0.06042729690670967,0.20066728710351364,0.012096224614965245,0.012096224614965245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brisc2025_train_00002_gl_ax_t1,resnet50,42,train,glioma,axial,False,True,False,0.3251595172089505
0.0,0.0036165041383355856,0.010443239472806454,0.34630098713648555,0.006020087124878993,0.006020087124878993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brisc2025_train_00003_gl_ax_t1,resnet50,42,train,glioma,axial,False,True,False,0.33308306752297273
0.0,0.004733047913759947,0.008649553172290325,0.5472014356675349,0.006526045915394476,0.006526045915394476,0.004848530406675186,0.00333245173234594,0.0,0.0,0.0,0.0,0.0,0.0,brisc2025_train_00004_gl_ax_t1,resnet50,42,train,glioma,axial,False,True,False,0.33200705926425794
0.0,0.04950800910592079,0.013651944696903229,3.626443719564075,0.14144084600132187,0.025722861810859074,0.043146522619851455,0.06910876132930513,0.12043530834340992,0.14144084600132187,0.1377049180327869,0.125193199381762,0.10830564784053157,0.07109879963065559,brisc2025_train_00005_gl_ax_t1,resnet50,42,train,glioma,axial,False,True,False,0.37369140454057514
0.0,0.00036558418651111424,0.013193558901548386,0.02770929278742293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brisc2025_train_00006_gl_ax_t1,resnet50,42,train,glioma,axial,False,True,False,0.349500454017509
0.0,0.009077336639165878,0.03280452638864517,0.27670988239927374,0.012344004340748779,0.012344004340748779,0.007305810186780619,0.0005366534292154127,0.0,0.0,0.0,0.0,0.0,0.0,brisc2025_train_00007_gl_ax_t1,resnet50,42,train,glioma,axial,False,True,False,0.3292151491599461
0.0,0.06511074304580688,0.03782685101032257,1.7212837258919282,0.07213973799126637,0.055808700393348135,0.0627126598615511,0.06238336443615036,0.07095688204065778,0.07213973799126637,0.06906837999082148,0.055459770114942526,0.040085136573252925,0.01706200582605077,brisc2025_train_00008_gl_ax_t1,resnet50,42,train,glioma,axial,False,True,False,0.3407069941418256
0.0,0.0019637381192296743,0.013552295975387096,0.1449007697880937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brisc2025_train_00009_gl_ax_t1,resnet50,42,train,glioma,axial,False,True,False,0.4149531068143709
0.0,0.003086873097345233,0.01773756369948387,0.17403027550142386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brisc2025_train_00010_gl_ax_t1,resnet50,42,train,glioma,axial,False,True,False,0.3425688930602483
0.0,0.00227394443936646,0.0016143176471814513,1.4086102839405221,0.005296194586112201,0.003256412318083139,0.005296194586112201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brisc2025_train_00011_gl_ax_t1,resnet50,42,train,glioma,axial,False,True,False,0.3719879515938805
0.0,0.03348555415868759,0.0316685251891613,1.05737649475853,0.042450002724647155,0.03856427378964942,0.042450002724647155,0.020100955471425996,0.0,0.0,0.0,0.0,0.0,0.0,brisc2025_train_00012_gl_ax_t1,resnet50,42,train,glioma,axial,True,True,False,0.346704782740382
