image_path,category,subcategory,source,license,oos_split,source_image
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0000.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/glioma/Tr-gl_488.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0001.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),fit,data/brain_tumor/glioma/Te-gl_224.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0002.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),fit,data/brain_tumor/glioma/Tr-gl_946.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0003.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),fit,data/brain_tumor/glioma/Tr-gl_1024.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0004.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/glioma/Tr-gl_193.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0005.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/glioma/Tr-gl_6.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0006.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),fit,data/brain_tumor/glioma/Tr-gl_1120.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0007.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/glioma/Te-gl_131.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0008.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/glioma/Tr-gl_1052.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0009.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/glioma/Tr-gl_574.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0010.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),fit,data/brain_tumor/glioma/Tr-gl_711.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0011.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),fit,data/brain_tumor/glioma/Te-gl_56.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0012.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/glioma/Tr-gl_1252.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0013.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),fit,data/brain_tumor/glioma/Te-gl_133.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0014.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),fit,data/brain_tumor/glioma/Tr-gl_662.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0015.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/glioma/Tr-gl_1225.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0016.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/glioma/Tr-gl_443.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0017.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),fit,data/brain_tumor/glioma/Te-gl_191.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0018.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),fit,data/brain_tumor/glioma/Te-gl_280.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0019.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),fit,data/brain_tumor/glioma/Tr-gl_114.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0020.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),fit,data/brain_tumor/glioma/Tr-gl_886.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0021.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/glioma/Te-gl_15.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0022.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/glioma/Tr-gl_964.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0023.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/glioma/Tr-gl_336.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0024.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),fit,data/brain_tumor/glioma/Tr-gl_71.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0025.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/glioma/Tr-gl_1214.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0026.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),fit,data/brain_tumor/glioma/Tr-gl_314.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0027.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),fit,data/brain_tumor/glioma/Tr-gl_992.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0028.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/glioma/Tr-gl_832.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0029.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/glioma/Tr-gl_777.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0030.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),fit,data/brain_tumor/meningioma/Tr-me_260.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0031.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/meningioma/Te-me_101.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0032.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/meningioma/Tr-me_232.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0033.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/meningioma/Tr-me_870.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0034.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/meningioma/Tr-me_1204.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0035.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/meningioma/Te-me_33.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0036.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),fit,data/brain_tumor/meningioma/Tr-me_1059.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0037.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/meningioma/Te-me_48.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0038.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/meningioma/Te-me_112.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0039.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),fit,data/brain_tumor/meningioma/Tr-me_64.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0040.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/meningioma/Te-aug-me_68.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0041.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),fit,data/brain_tumor/meningioma/Tr-me_1091.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0042.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/meningioma/Tr-me_1047.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0043.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),fit,data/brain_tumor/meningioma/Tr-me_698.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0044.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/meningioma/Tr-me_610.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0045.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/meningioma/Tr-me_403.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0046.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/meningioma/Tr-me_503.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0047.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),fit,data/brain_tumor/meningioma/Te-aug-me_50.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0048.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/meningioma/Tr-me_460.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0049.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),fit,data/brain_tumor/meningioma/Tr-me_505.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0050.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/meningioma/Tr-me_664.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0051.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/meningioma/Te-aug-me_5.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0052.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),fit,data/brain_tumor/meningioma/Tr-me_774.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0053.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/meningioma/Tr-me_306.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0054.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),fit,data/brain_tumor/meningioma/Tr-me_1296.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0055.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),fit,data/brain_tumor/meningioma/Tr-me_600.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0056.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),eval,data/brain_tumor/meningioma/Tr-me_464.jpg
data/out_of_scope/cat1_corruption/blur_heavy/blur_heavy_0057.png,cat1_corruption,blur_heavy,"internal train split, corrupted in software",same as data/brain_tumor (internal training data),fit,data/brain_tumor/meningioma/Tr-me_1153.jpg
